Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
La Roux,1 054 820 163,943 802 341,634 452 278,111 017 822,515 822,473 849,41 973,73,65,38,8
Redimi2,1 055 311 302,677 418 067,178 938 100,377 893 235,619 387,374 103,245 284,265,213,116,52
Bnxn,1 054 885 058,435 914 545,266 319 486,618 970 513,1 285 089,663 138,621 951,96,52,36,44
Slimane,1 055 288 015,492 544 414,424 970 171,562 743 601,496 184,295 250,200 934,104,65,52,39
Sarah McLachlan,1 055 007 209,834 046 428,806 435 954,220 960 781,368 771,226 175,142 596,233,201,179,32
Vince Guaraldi Trio,1 055 454 369,1 055 454 369,1 055 454 369,0,158 358,158 358,0,101,101,101,0
Juju,1 055 552 523,752 902 103,363 613 318,302 650 420,263 502,164 890,98 612,35,24,20,11
Natalie Cole,1 056 794 545,992 842 321,798 647 600,63 952 224,483 664,464 086,19 578,167,152,131,15
Norma Jean Martine,1 057 551 220,6 740 701,6 238 548,1 050 810 519,839 474,2 129,837 345,29,10,9,19
James Carter,1 057 771 818,368 527 993,75 779 854,689 243 825,527 017,150 477,376 540,73,46,4,27
Phora,1 057 365 222,1 056 577 161,884 222 347,788 061,121 723,121 653,70,242,241,209,1
Chris MC,1 058 125 974,165 222 555,37 488 239,892 903 419,168 148,97 537,70 611,142,46,5,96
B.B. King,1 057 306 720,739 116 201,482 377 889,318 190 519,358 403,273 918,84 485,520,480,418,40
Adie,1 058 390 104,1 051 659 935,692 730 987,6 730 169,1 224 632,1 055 802,168 830,21,20,17,1
Thin Lizzy,1 058 680 823,1 058 397 577,1 057 505 214,283 246,357 177,357 060,117,277,276,274,1
Sawano Hiroyuki,1 057 709 419,1 047 775 686,1 036 054 281,9 933 733,731 911,719 814,12 097,452,443,432,9
Natalie Imbruglia,1 058 739 194,1 058 114 194,1 057 342 446,625 000,632 137,631 229,908,85,84,83,1
Toro y Moi,1 058 764 583,700 697 549,642 420 280,358 067 034,270 578,135 033,135 545,225,198,170,27
