Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Daya,"4,990,905,735","2,094,245,668","1,962,758,033","2,896,660,067","1,308,508","506,297","477,162","802,211",80,49,37,31
Tones And I,"5,006,187,311","4,962,491,000","4,957,158,472","43,696,311","1,016,737","999,378","987,745","17,359",60,58,56,2
will.i.am,"5,010,147,054","2,010,650,089","153,524,839","2,999,496,965","1,895,951","628,547","23,989","1,267,404",172,83,37,89
Jax Jones,"5,036,320,576","3,598,444,721","65,081,666","1,437,875,855","1,286,650","900,269","11,487","386,381",154,95,8,59
Amitabh Bhattacharya,"5,042,756,458","5,436,456",0,"5,037,320,002","5,880,555","5,671",0,"5,874,884",152,2,0,150
Benson Boone,"5,055,143,520","5,055,143,520","5,031,073,874",0,"7,482,786","7,482,786","7,465,735",0,45,45,40,0
AFROJACK,"5,055,997,355","1,501,149,660","51,650,147","3,554,847,695","1,639,672","205,943","3,839","1,433,729",288,149,26,139
Dan + Shay,"5,066,608,199","4,917,919,682","3,548,396,694","148,688,517","896,982","816,478","537,951","80,504",118,114,104,4
24kGoldn,"5,068,746,585","4,175,546,483","1,326,892,074","893,200,102","1,017,459","853,448","207,219","164,011",85,53,30,32
Damso,"5,069,538,586","3,467,330,525","3,103,242,341","1,602,208,061","2,463,674","1,701,474","1,155,347","762,200",144,105,92,39
A$AP Ferg,"5,078,396,320","3,495,664,476","1,167,063,169","1,582,731,844","1,206,140","826,372","193,587","379,768",165,93,29,72
AJR,"5,087,847,465","4,803,283,651","4,455,741,039","284,563,814","1,498,734","1,401,189","1,326,062","97,545",119,111,92,8
Flume,"5,093,484,568","4,157,731,149","582,383,763","935,753,419","1,320,958","1,079,160","88,074","241,798",173,161,51,12
Cage The Elephant,"5,108,917,488","5,108,917,488","5,027,904,323",0,"2,220,290","2,220,290","2,199,682",0,131,131,128,0
Armin van Buuren,"5,103,537,106","4,491,330,464","981,697,621","612,206,642","2,427,971","2,149,216","355,916","278,755","1,733","1,551",282,182
Baby Keem,"5,116,858,561","4,758,617,492","3,174,718,113","358,241,069","3,004,814","2,614,313","1,695,996","390,501",63,59,51,4
Chief Keef,"5,136,362,733","3,756,057,556","2,509,290,949","1,380,305,177","3,523,737","2,705,839","1,672,408","817,898",658,588,442,70
Lin-Manuel Miranda,"5,142,137,915","1,756,520,025","138,212,315","3,385,617,890","2,053,866","650,643","48,086","1,403,223",83,42,18,41
Lunay,"5,145,909,024","2,883,094,039","251,459,100","2,262,814,985","1,597,217","971,940","30,548","625,277",82,46,25,36
Lil Skies,"5,159,430,017","4,501,839,283","2,785,197,308","657,590,734","651,792","567,783","396,434","84,009",106,87,68,19
Grupo Marca Registrada,"5,174,647,312","4,027,820,991","2,263,786,485","1,146,826,321","3,466,750","2,750,409","1,430,122","716,341",351,329,273,22
Juan Gabriel,"5,169,407,758","4,843,250,038","4,065,794,901","326,157,720","2,680,963","2,552,004","2,293,243","128,959",494,478,419,16
Ricky Martin,"5,174,953,201","4,375,756,833","2,239,692,000","799,196,368","1,454,006","1,291,517","790,575","162,489",283,252,175,31
X Ambassadors,"5,175,042,541","2,857,920,056","2,293,295,682","2,317,122,485","1,462,763","836,879","701,708","625,884",155,132,97,23
MEDUZA,"5,191,402,516","4,775,737,404","21,270,368","415,665,112","1,853,989","1,604,552","14,216","249,437",113,87,4,26
Becky Hill,"5,176,760,334","2,036,953,328","386,585,989","3,139,807,006","1,502,580","771,212","161,390","731,368",229,140,52,89
James Bay,"5,202,628,887","5,060,237,181","4,671,401,086","142,391,706","1,433,223","1,366,309","1,225,620","66,914",101,94,83,7
Tanishk Bagchi,"5,234,302,539","1,745,774,313","2,062,890","3,488,528,226","3,659,455","1,283,857",657,"2,375,598",178,84,3,94
Deftones,"5,293,271,917","5,293,271,917","5,273,979,300",0,"5,504,294","5,504,294","5,494,733",0,139,139,126,0
Korn,"5,253,920,989","5,237,180,099","4,794,729,611","16,740,890","2,884,680","2,879,481","2,706,903","5,199",259,257,217,2
Jesse & Joy,"5,315,701,062","4,634,871,741","3,423,518,401","680,829,321","2,264,276","1,992,781","1,664,446","271,495",134,126,116,8
The Cure,"5,296,091,015","5,293,529,110","5,216,221,916","2,561,905","2,869,131","2,867,840","2,837,419","1,291",629,628,587,1
MGMT,"5,338,913,312","3,803,379,537","3,786,178,360","1,535,533,775","2,266,105","1,744,597","1,739,656","521,508",100,92,74,8
TOMORROW X TOGETHER,"5,339,687,472","5,117,235,984","4,482,851,534","222,451,488","3,203,427","3,072,998","2,782,218","130,429",127,124,110,3
benny blanco,"5,376,703,985","3,968,107,793","3,665,705","1,408,596,192","3,904,923","1,114,008",485,"2,790,915",29,20,1,9
B.o.B,"5,380,931,695","3,723,869,945","479,171,368","1,657,061,750","1,734,266","1,196,803","64,456","537,463",297,245,157,52
Pablo Alborán,"5,390,512,741","4,358,360,873","3,203,719,741","1,032,151,868","1,953,469","1,544,101","1,080,769","409,368",230,201,172,29
Luan Santana,"5,404,980,665","4,662,949,306","3,443,139,140","742,031,359","3,096,239","2,814,822","2,419,959","281,417",280,237,198,43
Bibi und Tina,"5,361,021,803","5,361,021,803","4,844,509,912",0,"3,203,577","3,203,577","2,915,809",0,"4,026","4,026","3,877",0
Luciano,"5,420,489,775","3,722,744,503","2,459,599,898","1,697,745,272","1,946,205","1,281,179","679,317","665,026",254,185,129,69
Outkast,"5,420,852,383","5,270,370,844","4,782,223,686","150,481,539","2,498,565","2,445,213","2,252,180","53,352",176,172,125,4
Original Broadway Cast of Hamilton,"5,424,589,733","637,921,577","637,921,577","4,786,668,156","2,082,188","213,567","213,567","1,868,621",79,51,51,28
TV Girl,"5,425,490,176","5,134,468,377","5,112,453,956","291,021,799","7,069,683","6,535,587","6,441,900","534,096",74,66,58,8
Nio Garcia,"5,434,670,230","4,286,133,172","138,597,610","1,148,537,058","1,066,456","782,930","60,300","283,526",188,99,25,89
Oscar Maydon,"5,443,624,651","3,237,000,898","297,489,590","2,206,623,753","9,578,621","5,014,183","345,980","4,564,438",85,59,28,26
Nelly Furtado,"5,446,269,026","4,757,745,521","2,485,738,175","688,523,505","3,746,752","3,303,677","1,875,252","443,075",201,171,116,30
Tom Odell,"5,486,797,384","5,220,843,752","4,696,156,427","265,953,632","3,771,866","2,917,197","2,675,007","854,669",171,166,146,5
Glee Cast,"5,470,264,957","5,470,264,957","4,611,544,686",0,"971,955","971,955","825,014",0,722,722,644,0
Vishal-Shekhar,"5,492,389,322","5,300,980,008","9,182,487","191,409,314","5,620,781","5,525,898","5,603","94,883",288,269,11,19
The Smiths,"5,563,586,598","5,563,586,598","5,563,586,598",0,"4,071,052","4,071,052","4,071,052",0,144,144,144,0
Train,"5,544,488,100","5,259,018,006","5,118,233,501","285,470,094","2,319,598","2,241,680","2,222,809","77,918",185,177,162,8
George Ezra,"5,566,858,043","5,566,858,043","5,404,219,656",0,"1,842,745","1,842,745","1,815,538",0,84,84,66,0
Trey Songz,"5,570,992,375","4,011,845,608","2,800,417,791","1,559,146,767","1,300,210","980,411","618,908","319,799",349,251,199,98
JID,"5,587,721,317","2,247,058,919","924,386,507","3,340,662,398","2,755,378","1,054,096","357,420","1,701,282",117,52,31,65
LANY,"5,573,732,997","4,849,012,560","4,784,327,114","724,720,437","3,029,154","2,544,926","2,540,194","484,228",123,116,114,7
Cheat Codes,"5,620,638,560","3,723,043,174","195,904,215","1,897,595,386","530,659","339,158","9,201","191,501",199,138,19,61
Fifth Harmony,"5,629,486,402","5,335,109,359","2,173,836,410","294,377,043","983,739","956,735","373,194","27,004",80,75,60,5
Bryan Adams,"5,661,915,501","5,414,766,086","4,939,972,760","247,149,415","7,953,768","7,876,086","7,681,570","77,682",406,389,382,17
Capital Bra,"5,662,685,368","4,079,648,934","1,572,111,953","1,583,036,434","741,253","525,417","194,867","215,836",372,272,152,100
Dire Straits,"5,716,546,137","5,716,546,137","5,716,446,036",0,"3,437,044","3,437,044","3,437,044",0,132,132,131,0
Ana Castela,"5,742,352,040","1,933,670,327","1,056,044,861","3,808,681,713","4,371,056","1,744,191","606,135","2,626,865",98,44,22,54
Mustard,"5,742,348,848","2,990,090,185","3,700,662","2,752,258,663","1,799,555","1,008,572","1,856","790,983",101,67,5,34
Jason Aldean,"5,762,528,453","5,532,359,007","5,123,477,782","230,169,446","1,783,656","1,707,302","1,598,563","76,354",207,194,188,13
Céline Dion,"5,756,425,258","5,469,173,058","4,936,120,313","287,252,200","2,996,182","2,809,721","2,599,561","186,461",502,485,454,17
Galantis,"5,777,341,182","5,123,964,371","2,893,667,796","653,376,811","1,131,498","1,001,965","684,350","129,533",289,230,45,59
NewJeans,"5,778,008,750","5,557,134,581","5,539,478,041","220,874,169","5,027,962","4,824,056","4,812,373","203,906",40,37,36,3
The Police,"5,795,635,792","5,795,635,792","5,784,235,688",0,"4,068,221","4,068,221","4,065,041",0,135,135,121,0
Noriel,"5,808,954,513","697,625,210","168,125,135","5,111,329,303","2,883,197","193,019","50,167","2,690,178",179,39,14,140
Dean Lewis,"5,817,921,987","5,390,357,685","5,301,897,038","427,564,302","3,194,024","2,949,427","2,862,876","244,597",102,87,73,15
Phil Collins,"5,838,237,385","5,420,824,451","5,364,200,514","417,412,934","2,912,107","2,669,756","2,641,842","242,351",298,293,282,5
iann dior,"5,839,830,333","2,755,715,276","1,466,158,856","3,084,115,057","1,122,466","424,141","246,868","698,325",107,80,64,27
Bee Gees,"5,853,350,568","5,761,718,176","5,620,299,874","91,632,392","3,358,328","3,301,516","3,232,375","56,812",344,341,338,3
Gabito Ballesteros,"5,862,986,977","1,792,037,948","435,109,738","4,070,949,029","9,093,341","4,201,033","452,563","4,892,308",110,61,28,49
Alec Benjamin,"5,903,886,727","5,675,161,702","5,480,855,830","228,725,025","2,508,095","2,441,499","2,371,921","66,596",72,67,62,5
Moneybagg Yo,"5,895,385,202","3,689,021,396","1,996,893,462","2,206,363,806","2,523,189","1,765,565","1,024,128","757,624",372,282,164,90
MC Ryan SP,"5,905,192,911","1,047,745,331","97,496,507","4,857,447,580","5,195,859","643,968","40,925","4,551,891",344,78,11,266
Mambo Kingz,"5,911,469,772","7,522,720","1,062,398","5,903,947,052","2,331,504","1,433",169,"2,330,071",48,6,3,42
Tiago PZK,"5,935,468,311","3,049,420,956","541,637,268","2,886,047,355","4,242,186","2,727,239","474,123","1,514,947",109,69,33,40
Vicente Fernández,"5,947,713,656","5,786,611,375","5,692,765,349","161,102,281","3,601,968","3,506,335","3,476,921","95,633",893,878,857,15
Three Days Grace,"5,997,405,961","5,841,163,779","5,817,008,938","156,242,182","2,910,127","2,828,149","2,815,531","81,978",101,100,98,1
Los Ángeles Azules,"5,998,183,090","5,786,292,069","2,040,550,941","211,891,021","3,395,559","3,247,543","1,247,214","148,016",308,296,207,12
Pearl Jam,"5,952,746,587","5,952,746,587","5,941,719,240",0,"2,382,109","2,382,109","2,380,090",0,430,430,427,0
Jason Mraz,"6,009,189,016","5,829,846,635","4,927,980,879","179,342,381","2,008,840","1,975,243","1,777,938","33,597",256,244,231,12
Wesley Safadão,"6,016,810,415","4,267,286,965","2,525,272,203","1,749,523,450","3,460,529","2,018,933","449,667","1,441,596",405,332,241,73
Lizzo,"6,023,957,587","5,893,312,166","4,819,407,359","130,645,421","1,079,853","1,069,946","899,081","9,907",93,84,61,9
Juanes,"6,046,475,754","3,989,369,379","3,195,438,964","2,057,106,375","3,004,950","1,961,714","1,718,755","1,043,236",229,184,160,45
Julión Álvarez y su Norteño Banda,"6,047,877,247","5,930,655,770","5,901,084,014","117,221,477","8,308,525","8,218,794","8,200,434","89,731",241,234,230,7
YNW Melly,"6,049,520,211","5,542,447,715","3,672,327,262","507,072,496","1,930,557","1,831,453","1,282,908","99,104",105,86,54,19
Bon Iver,"6,051,085,300","4,114,750,338","4,114,750,338","1,936,334,962","2,293,294","1,391,502","1,391,502","901,792",78,64,64,14
Thomas Rhett,"6,052,124,841","5,599,520,552","4,560,156,400","452,604,289","2,260,456","2,129,321","1,312,083","131,135",150,132,112,18
Nelly,"6,053,106,205","5,061,762,966","1,827,003,404","991,343,239","2,458,630","2,221,749","827,371","236,881",210,167,62,43
Calum Scott,"6,054,311,468","3,937,990,018","3,354,494,821","2,116,321,450","2,439,259","1,371,867","1,180,217","1,067,392",109,76,54,33
Joan Sebastian,"6,056,908,653","5,972,804,292","5,055,594,405","84,104,361","4,509,505","4,470,726","3,776,181","38,779",488,475,445,13
Avenged Sevenfold,"6,072,401,152","6,067,554,542","6,060,042,999","4,846,610","2,968,915","2,968,168","2,966,101",747,175,174,172,1
Mumford & Sons,"6,076,692,385","5,975,270,714","5,930,573,698","101,421,671","2,065,577","2,019,703","2,000,190","45,874",114,113,103,1
Ski Mask The Slump God,"6,079,253,358","4,171,921,571","2,810,931,219","1,907,331,787","1,439,505","929,824","591,234","509,681",120,84,63,36
KHEA,"6,079,289,050","2,782,334,344","532,208,801","3,296,954,706","3,015,920","1,428,769","230,925","1,587,151",149,73,26,76
Nicki Nicole,"6,089,335,479","2,222,067,829","927,855,668","3,867,267,650","3,237,429","1,315,534","601,599","1,921,895",95,59,40,36
Mark Ronson,"6,091,852,506","4,937,133,840","10,008,508","1,154,718,666","3,070,200","2,637,512","1,296","432,688",160,125,8,35
Ryan Lewis,"6,093,606,227",0,0,"6,093,606,227","2,238,130",0,0,"2,238,130",34,0,0,34
Alejandro Sanz,"6,095,282,411","4,515,543,877","3,590,059,046","1,579,738,534","2,500,168","1,927,736","1,651,124","572,432",394,352,287,42
Eslabon Armado,"6,130,281,415","5,544,357,992","2,727,797,579","585,923,423","3,344,944","2,418,139","1,142,195","926,805",121,110,92,11
Hailee Steinfeld,"6,143,153,987","5,760,847,098","2,322,738,562","382,306,889","1,006,338","965,867","348,722","40,471",51,33,17,18
Jimin,"6,149,568,697","5,574,069,020","4,923,544,559","575,499,677","9,712,703","9,513,177","8,908,041","199,526",33,30,22,3
DJ Luian,"6,194,333,848","1,147,501,204",0,"5,046,832,644","2,461,271","355,566",0,"2,105,705",79,12,0,67
Disturbed,"6,174,852,179","6,174,852,179","5,732,706,512",0,"3,052,973","3,052,973","2,246,197",0,178,178,172,0
Dave,"6,203,704,505","5,477,348,186","2,050,045,036","726,356,319","3,264,128","2,921,101","1,041,032","343,027",78,59,39,19
Macklemore & Ryan Lewis,"6,213,611,956","3,503,373,124","111,985,945","2,710,238,832","2,334,491","856,980","6,521","1,477,511",47,46,12,1
R3HAB,"6,156,702,174","3,663,364,313","120,034,759","2,493,337,861","1,593,901","1,003,267","18,506","590,634",413,190,18,223
Ricardo Arjona,"6,170,204,158","6,166,348,411","5,531,531,101","3,855,747","2,852,083","2,851,333","2,593,092",750,361,360,334,1
Eagles,"6,228,171,624","6,228,171,624","6,228,171,624",0,"2,558,722","2,558,722","2,558,722",0,185,185,185,0
The Strokes,"6,233,605,265","6,233,605,265","6,207,350,469",0,"2,907,417","2,907,417","2,895,186",0,87,87,85,0
Rod Wave,"6,240,826,264","6,013,597,760","4,981,402,222","227,228,504","4,490,530","4,199,152","3,713,322","291,378",204,192,173,12
H.E.R.,"6,253,256,589","3,328,750,552","1,949,933,914","2,924,506,037","2,706,623","1,007,177","503,845","1,699,446",128,88,66,40
La Arrolladora Banda El Limón De Rene Camacho,"6,244,510,667","6,191,590,683","6,116,842,066","52,919,984","7,786,352","7,710,484","7,679,026","75,868",397,389,382,8
Rex Orange County,"6,286,461,773","5,831,499,738","5,178,586,962","454,962,035","2,217,081","2,007,898","1,897,646","209,183",78,75,70,3
Brytiago,"6,268,934,934","2,356,276,595","146,241,158","3,912,658,339","2,880,454","1,186,614","37,805","1,693,840",160,82,27,78
Johnny Cash,"6,232,558,288","5,424,003,135","4,529,287,756","808,555,153","2,555,622","2,183,452","1,786,838","372,170","1,298","1,202",993,96
Bazzi,"6,306,324,448","6,214,928,447","5,233,889,878","91,396,001","1,004,242","980,971","805,654","23,271",74,63,58,11
Clairo,"6,310,011,875","4,876,832,017","4,628,706,098","1,433,179,858","5,363,000","4,501,714","4,350,497","861,286",63,52,50,11
Alfredo Olivas,"6,323,395,192","5,824,121,296","5,760,366,304","499,273,896","4,673,727","4,227,396","4,195,467","446,331",123,105,101,18
Five Finger Death Punch,"6,324,496,244","6,324,496,244","5,956,987,865",0,"1,796,694","1,796,694","1,681,957",0,152,152,142,0
Backstreet Boys,"6,337,076,356","6,023,112,378","6,010,948,987","313,963,978","2,973,244","2,933,611","2,932,292","39,633",152,143,134,9
Amy Winehouse,"6,341,385,295","6,202,626,198","6,052,946,309","138,759,097","3,645,489","3,598,542","3,539,844","46,947",172,167,142,5
RAYE,"6,348,405,973","2,419,843,262","716,956,809","3,928,562,711","3,666,516","2,055,057","1,093,624","1,611,459",206,116,55,90
A.R. Rahman,"6,353,738,262","5,416,849,809","340,259,289","936,888,453","5,908,892","5,049,271","374,600","859,621",721,613,103,108
Jay Wheeler,"6,373,378,654","3,795,330,590","684,116,500","2,578,048,064","3,655,497","1,980,988","327,522","1,674,509",232,137,73,95
MØ,"6,435,800,901","1,597,038,796","1,285,823,540","4,838,762,105","1,464,367","133,365","101,598","1,331,002",160,116,69,44
Calibre 50,"6,437,228,401","5,896,316,134","5,427,255,785","540,912,267","3,464,178","3,296,975","3,121,367","167,203",294,271,253,23
Steve Aoki,"6,443,916,095","3,545,577,208","12,706,045","2,898,338,887","2,598,850","1,659,125","1,710","939,725",527,389,11,138
Plan B,"6,470,166,660","4,572,924,013","3,853,395,066","1,897,242,647","4,243,889","3,177,050","2,866,571","1,066,839",97,60,37,37
Nate Dogg,"6,493,214,338","943,175,733","169,983,606","5,550,038,605","3,020,745","402,119","58,929","2,618,626",185,82,19,103
TINI,"6,497,784,796","4,826,954,561","1,478,170,821","1,670,830,235","3,076,464","1,742,314","898,864","1,334,150",114,90,65,24
RAF Camora,"6,500,264,281","2,888,804,761","1,337,953,119","3,611,459,520","1,704,550","846,855","353,024","857,695",418,245,167,173
Kevin Gates,"6,502,354,524","5,495,464,082","4,771,878,303","1,006,890,442","1,491,862","1,142,561","1,008,731","349,301",396,320,270,76
Kane Brown,"6,508,530,767","4,326,924,032","2,752,394,695","2,181,606,735","2,238,560","1,095,591","659,781","1,142,969",143,112,78,31
The Offspring,"6,513,950,513","6,513,950,513","6,413,321,644",0,"3,572,299","3,572,299","3,509,085",0,165,165,160,0
Disclosure,"6,531,044,815","6,301,091,827","669,481,494","229,952,988","2,621,371","2,556,428","269,588","64,943",213,198,63,15
Chase Atlantic,"6,514,770,152","6,462,381,683","6,008,975,051","52,388,469","7,100,318","7,073,200","6,676,111","27,118",88,85,79,3
Maiara & Maraisa,"6,549,466,869","2,484,607,416","2,101,722,197","4,064,859,453","3,176,386","1,471,615","1,389,089","1,704,771",260,159,141,101
Fetty Wap,"6,551,762,251","4,361,737,026","2,470,935,675","2,190,025,225","1,192,335","972,191","592,199","220,144",181,133,95,48
Aerosmith,"6,559,697,704","6,282,388,877","6,274,880,118","277,308,827","2,936,668","2,864,019","2,863,138","72,649",276,275,274,1
Hans Zimmer,"6,560,412,351","6,087,110,157","3,843,678,687","473,302,194","4,621,457","4,390,389","2,221,447","231,068","1,308","1,204",551,104
SEVENTEEN,"6,591,829,695","6,548,900,624","6,479,011,290","42,929,071","4,726,997","4,707,122","4,442,715","19,875",205,201,196,4
Alesso,"6,630,701,701","3,871,991,025","738,138,981","2,758,710,676","2,106,445","1,090,400","82,094","1,016,045",160,124,36,36
The Script,"6,648,688,136","6,626,536,976","4,950,011,823","22,151,160","3,380,829","3,377,045","2,510,090","3,784",118,113,105,5
ScHoolboy Q,"6,640,715,111","4,084,237,405","1,471,295,984","2,556,477,706","2,582,867","1,141,230","443,127","1,441,637",153,98,52,55
Vance Joy,"6,680,066,347","6,517,033,468","6,417,555,459","163,032,879","2,366,929","2,337,651","2,328,755","29,278",126,123,110,3
Alejandro Fernández,"6,682,854,131","6,181,578,511","5,056,626,235","501,275,620","2,836,935","2,588,489","2,178,119","248,446",350,324,298,26
Jess Glynne,"6,710,219,430","2,754,184,620","2,434,572,532","3,956,034,810","1,918,091","484,576","457,257","1,433,515",153,88,52,65
Prince Royce,"6,722,261,564","5,057,866,706","3,328,096,805","1,664,394,858","2,363,113","1,800,687","1,374,423","562,426",167,134,102,33
Kings of Leon,"6,796,814,025","6,796,814,025","6,780,621,325",0,"2,840,365","2,840,365","2,836,835",0,134,134,129,0
El Alfa,"6,801,006,438","3,664,366,860","638,646,226","3,136,639,578","3,358,788","2,206,240","337,433","1,152,548",270,196,73,74
Piso 21,"6,811,056,335","5,313,410,666","1,406,797,376","1,497,645,669","1,575,826","1,240,944","288,073","334,882",133,94,52,39
Timbaland,"6,828,943,228","3,129,833,399","25,093,820","3,699,109,829","4,532,953","2,288,314","8,221","2,244,639",239,144,6,95
Stevie Wonder,"6,824,143,492","6,318,628,618","6,114,998,239","505,514,874","2,612,906","2,450,999","2,379,942","161,907",468,429,410,39
Juicy J,"6,806,909,479","1,425,755,208","133,917,360","5,381,154,271","1,874,868","229,991","27,868","1,644,877",535,361,135,174
Billy Joel,"6,832,359,308","6,779,476,834","6,742,498,741","52,882,474","3,920,002","3,903,740","3,893,506","16,262",407,390,370,17
Giveon,"6,843,671,351","4,035,071,769","3,972,035,910","2,808,599,582","4,055,845","1,976,377","1,951,427","2,079,468",40,35,34,5
Kelly Clarkson,"6,858,754,484","6,514,250,716","6,067,593,441","344,503,768","1,628,707","1,549,285","1,499,557","79,422",304,284,204,20
Danny Ocean,"6,858,779,311","5,301,811,376","4,991,545,898","1,556,967,935","5,661,059","4,900,013","2,430,190","761,046",104,78,67,26
Avril Lavigne,"6,861,168,996","6,677,400,320","6,357,997,881","183,768,676","3,119,881","2,998,474","2,914,805","121,407",168,155,140,13
Cris Mj,"6,865,304,508","3,910,718,551","2,420,939,111","2,954,585,957","9,524,028","5,925,065","3,183,098","3,598,963",108,59,32,49
Cartel De Santa,"6,866,630,938","6,529,553,549","4,429,005,906","337,077,389","3,986,104","3,793,320","2,502,044","192,784",133,129,88,4
Central Cee,"6,877,569,563","4,525,715,720","3,858,298,321","2,351,853,843","19,180,252","16,928,098","9,419,843","2,252,154",95,69,56,26
Lost Frequencies,"7,016,206,434","6,568,525,374","1,571,006,589","447,681,060","4,238,290","4,102,251","795,208","136,039",329,283,45,46
Whitney Houston,"7,024,526,292","5,966,379,557","5,316,984,549","1,058,146,735","2,854,399","2,389,012","2,134,728","465,387",257,243,151,14
Mac DeMarco,"7,025,497,110","7,005,907,871","6,995,994,848","19,589,239","5,497,948","5,482,105","5,469,299","15,843",385,381,379,4
Bonez MC,"7,034,761,473","4,033,852,411","912,874,411","3,000,909,062","2,560,992","1,527,256","572,425","1,033,736",369,231,66,138
Burna Boy,"7,061,740,701","4,252,337,399","3,044,022,957","2,809,403,302","4,389,220","2,506,789","1,908,981","1,882,431",238,170,113,68
Rae Sremmurd,"7,094,479,496","6,386,727,326","3,571,105,274","707,752,170","1,558,583","1,479,563","962,176","79,020",93,73,32,20
Bruce Springsteen,"7,098,986,394","6,980,370,861","6,966,941,608","118,615,533","2,871,446","2,755,472","2,751,570","115,974",915,903,892,12
T.I.,"7,113,970,886","3,721,776,266","1,400,967,469","3,392,194,620","2,739,493","1,274,500","566,216","1,464,993",497,332,144,165
Maná,"7,156,700,330","7,156,018,992","5,617,303,280","681,338","3,475,220","3,473,819","2,877,250","1,401",214,212,188,2
Felix Jaehn,"7,157,654,770","3,201,348,836","51,756,027","3,956,305,934","2,171,976","832,210","7,752","1,339,766",202,142,11,60
6LACK,"7,163,875,340","3,446,045,010","2,330,815,199","3,717,830,330","1,710,952","695,760","430,091","1,015,192",166,84,67,82
Glass Animals,"7,173,771,726","7,162,126,476","6,662,938,560","11,645,250","2,685,863","2,681,135","2,552,658","4,728",121,119,83,2
Jack Johnson,"7,187,022,624","6,919,538,330","6,710,281,008","267,484,294","2,248,310","2,154,430","2,080,728","93,880",239,219,166,20
Sfera Ebbasta,"7,209,124,607","3,351,472,348","1,963,918,535","3,857,652,259","2,920,594","1,501,948","856,288","1,418,646",166,86,49,80
NLE Choppa,"7,221,915,117","5,782,971,896","3,564,814,166","1,438,943,221","4,727,902","4,174,468","2,291,041","553,434",282,185,116,97
Yeat,"7,243,115,329","6,568,736,306","5,685,147,549","674,379,023","5,578,560","5,086,868","4,414,911","491,692",222,210,180,12
Florence + The Machine,"7,261,056,131","7,014,893,801","6,522,662,448","246,162,330","3,342,427","3,076,275","2,789,100","266,152",222,221,173,1
6ix9ine,"7,276,124,501","6,022,074,191","2,052,075,249","1,254,050,310","1,502,296","1,367,877","371,755","134,419",91,78,40,13
Niall Horan,"7,292,783,801","5,902,993,197","5,520,101,972","1,389,790,604","2,344,089","1,884,520","1,802,040","459,569",121,114,86,7
NATTI NATASHA,"7,307,469,266","3,215,996,293","679,272,925","4,091,472,973","2,240,184","877,301","153,812","1,362,883",131,81,55,50
Rita Ora,"7,319,196,643","3,664,093,093","2,743,358,188","3,655,103,550","1,514,050","582,934","384,333","931,116",173,103,50,70
Jennifer Lopez,"7,352,604,086","6,024,295,807","2,447,951,606","1,328,308,279","2,454,114","2,131,287","711,554","322,827",276,241,152,35
Nickelback,"7,376,925,738","7,376,925,738","7,355,478,484",0,"4,566,693","4,566,693","4,538,563",0,179,179,173,0
Muse,"7,403,912,710","7,399,016,287","7,369,889,282","4,896,423","2,797,086","2,785,358","2,775,168","11,728",270,266,252,4
Jonas Brothers,"7,446,930,212","5,771,966,800","5,524,652,255","1,674,963,412","2,540,859","1,363,947","1,305,917","1,176,912",138,120,112,18
Luke Bryan,"7,522,350,150","6,427,127,696","6,332,968,950","1,095,222,454","2,669,018","2,013,952","2,001,639","655,066",174,158,157,16
Ludacris,"7,538,206,066","1,901,022,923","605,928,776","5,637,183,143","3,857,487","662,011","224,005","3,195,476",277,169,75,108
Wizkid,"7,598,349,325","2,153,032,061","831,014,208","5,445,317,264","4,665,016","2,480,361","1,311,734","2,184,655",186,111,67,75
My Chemical Romance,"7,661,689,923","7,661,689,923","7,622,730,308",0,"4,308,662","4,308,662","4,295,459",0,134,134,132,0
Conan Gray,"7,678,274,559","7,513,910,590","7,513,910,590","164,363,969","5,335,046","5,314,876","5,314,876","20,170",49,48,48,1
Tove Lo,"7,680,735,760","4,886,141,281","3,600,816,325","2,794,594,479","2,151,276","1,466,910","1,137,622","684,366",217,164,94,53
Jeremih,"7,683,692,907","4,649,414,162","1,865,954,375","3,034,278,745","2,173,864","1,688,388","770,088","485,476",269,110,56,159
Matheus & Kauan,"7,717,258,666","6,111,646,599","4,368,213,547","1,605,612,067","4,692,106","3,169,484","2,472,263","1,522,622",249,194,171,55
Anderson .Paak,"7,727,098,407","2,259,657,904","1,190,309,325","5,467,440,503","2,732,117","358,709","191,092","2,373,408",221,89,59,132
Aventura,"7,776,025,548","7,711,045,685","5,340,547,689","64,979,863","4,927,932","4,877,011","3,666,456","50,921",123,119,104,4
Summer Walker,"7,808,379,964","6,237,875,237","3,057,845,214","1,570,504,727","4,847,957","3,530,796","1,852,554","1,317,161",160,110,81,50
League of Legends,"7,761,120,909","3,128,808,960","398,775,616","4,632,311,949","7,957,468","1,428,996","105,128","6,528,472",570,500,328,70
De La Ghetto,"7,814,856,010","1,245,870,743","400,313,484","6,568,985,267","3,450,456","405,785","178,335","3,044,671",334,108,51,226
NAV,"7,816,692,647","5,139,730,325","1,696,459,197","2,676,962,322","1,558,409","824,127","238,942","734,282",171,139,84,32
Marc Anthony,"7,836,504,102","4,849,935,491","4,590,583,909","2,986,568,611","2,835,385","1,766,324","1,718,057","1,069,061",226,187,180,39
