Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Renée Elise Goldsberry,"1,031,773,176","684,162,333",0,"347,610,843","500,897","322,218",0,"178,679",7,3,0,4
Chris Lane,"1,031,815,228","928,582,633","675,811,218","103,232,595","137,393","122,889","94,616","14,504",70,62,56,8
Cassie,"1,032,366,888","945,897,353","886,668,537","86,469,535","572,179","556,133","541,997","16,046",43,38,27,5
The Monkees,"1,032,332,193","1,032,332,193","1,031,701,367",0,"341,594","341,594","341,369",0,186,186,185,0
A Touch Of Class,"1,032,557,879","251,441,045","4,018,646","781,116,834","350,479","142,977","1,513","207,502",28,16,4,12
Vini Vici,"1,032,541,186","213,684,231","59,552,000","818,856,955","434,642","77,720","10,123","356,922",165,78,17,87
ElGrandeToto,"1,033,261,252","595,123,177","405,448,912","438,138,075","1,571,496","1,074,685","715,611","496,811",129,90,63,39
Dani Flow,"1,033,330,512","443,772,060","108,942,198","589,558,452","750,575","412,765","44,108","337,810",96,53,24,43
Mýa,"1,033,357,592","257,137,266","201,308,112","776,220,326","359,787","69,297","57,522","290,490",122,103,75,19
Sueco,"1,033,938,792","829,288,383","662,306,902","204,650,409","371,799","265,900","237,592","105,899",72,54,48,18
We The Kings,"1,033,939,607","998,663,220","621,486,251","35,276,387","313,765","300,936","226,037","12,829",123,118,107,5
Yung Joc,"1,034,245,523","217,919,081","21,955,176","816,326,442","482,692","78,492","7,304","404,200",54,34,13,20
Kenny Beats,"1,034,372,325","92,514,647","92,514,647","941,857,678","347,157","29,122","29,122","318,035",142,20,20,122
MC Kekel,"1,034,567,550","562,869,632","289,577,155","471,697,918","200,422","117,813","82,396","82,609",129,84,50,45
Daniel Hope,"1,035,249,446",0,0,"1,035,249,446","591,162",0,0,"591,162",113,0,0,113
Alan Menken,"1,036,697,763","790,551,917","137,508,460","246,145,846","481,739","378,788","32,619","102,951",191,165,65,26
Queen Naija,"1,037,016,348","769,981,421","629,890,437","267,034,927","246,551","202,890","167,257","43,661",68,50,33,18
Nego do Borel,"1,037,485,326","367,046,037","107,144,279","670,439,289","134,527","27,437","5,663","107,090",71,55,42,16
Yalın,"1,037,165,609","1,003,486,957","963,954,915","33,678,652","1,287,054","1,257,794","1,244,977","29,260",102,97,90,5
Sevdaliza,"1,037,503,932","1,025,532,822","206,047,143","11,971,110","2,197,457","2,196,056","45,257","1,401",74,72,57,2
The La Planta,"1,037,692,769","656,889,517","133,385,713","380,803,252","1,469,550","749,671","131,229","719,879",154,79,17,75
Carnage,"1,038,119,677","765,103,132","9,721,116","273,016,545","94,461","66,421",473,"28,040",76,59,3,17
RY X,"1,038,425,450","929,284,812","820,614,776","109,140,638","467,251","406,344","318,425","60,907",118,93,49,25
KIDS SEE GHOSTS,"1,038,606,904","1,038,606,904","531,446,238",0,"241,900","241,900","111,131",0,7,7,3,0
